Lake_FWC,County_FWC,AnyCtrl,FWCPlantStart
TM GOODWIN WMA,BREVARD,47,NA
CRYSTAL SPRINGS FMA,DUVAL,4,NA
LAURIE,GADSDEN,30,NA
EAGLE FMA,HAMILTON,20,NA
CATFISH CREEK,HIGHLANDS,12,NA
JACKS CREEK,HIGHLANDS,5,NA
JACKSON CREEK,HIGHLANDS,33,NA
BAKER CREEK,HILLSBOROUGH,15,NA
GRADY,HILLSBOROUGH,62,NA
SADDLEBACK,HILLSBOROUGH,16,NA
WOOD,HILLSBOROUGH,11,NA
ADMINISTRATION,LAKE,1,NA
CARLTON,LAKE,1,NA
ELLA 2,LAKE,10,NA
EMERALDA MARSH CONSERVATION AREA,LAKE,16,NA
JUNIETTA,LAKE,16,NA
CRYSTAL AND BLUES,MARION,10,NA
SILVER,MARION,5,NA
HOMESTEAD FS WATERWAYS,MIAMI-DADE,3,NA
EGLINS FMA,OKALOOSA,4,NA
UPPER TAYLOR CREEK,OKEECHOBEE,83,NA
DAVIS,ORANGE,1,NA
TUCKER,ORANGE,3,NA
TURKEY,ORANGE,1,NA
REEDY CREEK,OSCEOLA,6,NA
RUSSELL,OSCEOLA,24,NA
C-XVIII WATERSHED,PALM BEACH,49,NA
ADMINISTRATION,POLK,1,NA
CARTER ROAD,POLK,30,NA
SADDLEBACK,POLK,1,NA
TRIPLET,SEMINOLE,3,NA
DELEON SPRINGS ST PARK WETLANDS,VOLUSIA,4,NA
ORANGE CREEK CONSERVATION AREA,ALACHUA,2,NA
PAYNES PRAIRIE,ALACHUA,7,NA
BAY COUNTY SALVINIA AREAS,BAY,36,NA
FRANK BROWN FMA,BAY,7,NA
PANAMA CITY CRAYFISH WETLANDS,BAY,9,NA
TM GOODWIN-BROADMOOR MARSH,BREVARD,13,NA
WATER CONSERVATION AREAS,BROWARD,42,NA
JONES LOOP RD RIGHT-OF-WAY,CHARLOTTE,18,NA
WILLIAM SHEFFIELD,CLAY,4,NA
AIRPORT PULLING ROAD CANAL,COLLIER,12,NA
COCOHATCHEE CANAL,COLLIER,1,NA
CORKSCREW MARSH,COLLIER,3,NA
OSCEOLA NATIONAL FOREST EPHEMERAL PONDS,COLUMBIA,12,NA
BAYMEADOWS FMA,DUVAL,10,NA
FERRY PASS POND,ESCAMBIA,2,NA
HUCKLEBERRY CREEK,FRANKLIN,6,NA
JOE BUDD POND,GADSDEN,1,NA
HARDEES FMA,HARDEE,30,NA
LITTLE BONNET,HIGHLANDS,1,NA
PEACE POND,HIGHLANDS,2,NA
BOBBY HICKS POND,HILLSBOROUGH,23,NA
ANSIN EAST IMPOUNDMENT,INDIAN RIVER,1,NA
FELLSMERE RESERVOIR AREA SGA,INDIAN RIVER,2,NA
APALACHEE WILDLIFE MANAGEMENT AREA,JACKSON,2,NA
HILOCHEE WMA,LAKE,3,NA
PINE MEADOWS RESTORATION AREA,LAKE,28,NA
SANIBEL RIVER SLOUGH,LEE,9,NA
WILD TURKEY STRAND PRESERVE,LEE,13,NA
YELLOW FEVER CREEK,LEE,13,NA
APALACHICOLA NF EPHEMERAL PONDS,LIBERTY,45,NA
OCKLAWAHA PRAIRIE RESTORATION AREA,MARION,6,NA
DUPUIS MANAGEMENT AREA,MARTIN,3,NA
HALPATIOKEE REGIONAL PARKS,MARTIN,1,NA
HUNGRYLAND WEA,MARTIN,1,NA
TROPICAL PARK FMA,MIAMI-DADE,3,NA
ZOO MIAMIS,MIAMI-DADE,1,NA
EGLIN EPHEMERAL PONDS,OKALOOSA,26,NA
KISSIMMEE PRAIRIE PRESERVE,OKEECHOBEE,1,NA
LOWER TAYLOR CREEK,OKEECHOBEE,4,NA
CORBETT WMA PONDS,PALM BEACH,43,NA
EVERGLADES WMA,PALM BEACH,6,NA
FWC PALM BEACH COUNTY SHOOTING SPORTS PARK,PALM BEACH,2,NA
HOLEY LAND WMA,PALM BEACH,4,NA
MECCA FARMS,PALM BEACH,22,NA
OKEEHEELEE PARK,PALM BEACH,10,NA
ROTENBERGER WMA,PALM BEACH,5,NA
POINCIANA PONDS & CANALS,POLK,2,NA
SAVANNAS PRESERVE STATE PARK,SAINT LUCIE,21,NA
ST. LUCIE RIVER,SAINT LUCIE,2,NA
TEAGUE HAMMOCK PRESERVE,SAINT LUCIE,6,NA
GARCON POINT WMA,SANTA ROSA,1,NA
GARNIER CREEK,SANTA ROSA,26,NA
MYAKKA RIVER SP WETLANDS,SARASOTA,2,NA
OSCAR SCHERER STAE PARK,SARASOTA,1,NA
BLUE SPRINGS,VOLUSIA,2,NA
FLINT ROCK WILDLIFE MGMT AREA EPHEMERAL PONDS,WAKULLA,1,NA
BIVENS ARM,ALACHUA,0,1989-08-03
ECONFINA CREEK,BAY,0,1982-09-28
CRANES CREEK,BREVARD,0,1997-09-23
HILDA,CALHOUN,0,1982-09-15
BLACK CREEK,CLAY,0,1983-11-02
BROOKLYN,CLAY,0,1983-11-02
DOCTORS,CLAY,0,1982-09-28
JOHNSON,CLAY,0,1988-06-22
KINGSLEY,CLAY,0,1982-06-18
DESOTO,COLUMBIA,0,2010-11-10
CEDAR RIVER,DUVAL,0,1982-09-29
JULINGTON CREEK,DUVAL,0,1982-10-12
LEE ADAMS POND,DUVAL,0,1982-10-12
ORTEGA RIVER,DUVAL,0,1982-09-29
RIBAULT RIVER,DUVAL,0,1982-09-29
PERDIDO RIVER,ESCAMBIA,0,1982-09-23
DEAD,FLAGLER,0,1987-06-25
WATERS,GILCHRISAINT,0,1982-08-25
DEADS,GULF,0,1982-09-15
WIMICO,GULF,0,1982-05-24
ALAPAHA RIVER,HAMILTON,0,1983-08-08
ISTOKPOGA CANAL,HIGHLANDS,0,2018-08-02
PEMBERTON CREEK,HILLSBOROUGH,0,1982-09-10
TAMPA BYPASS CANAL,HILLSBOROUGH,0,2018-08-22
COMPASS,JACKSON,0,1982-09-29
ROUND,JACKSON,0,1982-09-29
DINA,LAKE,0,1982-10-07
LITTLE HARRIS,LAKE,0,1982-09-16
MUD,LAKE,0,2013-07-16
WILLAIMEE,LAKE,0,2003-05-22
WACCASASSA RIVER,LEVY,0,1982-08-13
WEKIVA RIVER,LEVY,0,1990-10-19
MANATEE,MANATEE,0,1982-05-21
JUNIPER SPRINGS,MARION,0,1989-11-03
LITTLE JUMPER,MARION,0,1990-10-31
LITTLE WEIR,MARION,0,1990-05-18
LOU,MARION,0,1988-11-10
SILVER GLEN SPRINGS,MARION,0,1991-08-01
WARNER (L. KERR),MARION,0,1983-09-15
SHOAL RIVER,OKALOOSA,0,1982-10-27
AJAY,OSCEOLA,0,1983-06-28
BOGGY CREEK,OSCEOLA,0,1982-06-10
MANGONIA,PALM BEACH,0,1983-05-17
CREWS,PASCO,0,1988-07-29
PITHLACHASCOTTE RIVER,PASCO,0,1982-10-12
ALLIGATOR,PINELLAS,0,1982-10-06
SAWGRASS,PINELLAS,0,1982-10-06
TARPON OUTFALL CANAL,PINELLAS,0,2018-08-22
TAYLOR PARK,PINELLAS,0,1982-10-06
WALSINGHAM RESERVOIR,PINELLAS,0,1982-10-06
BONNET,POLK,0,1982-11-09
LITTLE HAMILTON,POLK,0,1982-11-09
MIDDLE HAMILTON,POLK,0,1982-11-09
MOODY,POLK,0,1983-10-27
PATRICK (LEONORE),POLK,0,1983-10-27
RUBY,POLK,0,1990-08-17
STAR,POLK,0,1997-08-20
STREETY,POLK,0,1990-08-21
ZIPPER CREEK,POLK,0,1989-09-20
COWPEN,PUTNAM,0,1982-09-21
CRESCENT,PUTNAM,0,1982-11-24
DUNNS CREEK,PUTNAM,0,1982-09-09
LITTLE GEORGE,PUTNAM,0,1982-10-12
BEAR,SANTA ROSA,0,1982-09-23
BOILING CREEK,SANTA ROSA,0,1983-10-27
ESCAMBIA RIVER,SANTA ROSA,0,1983-10-26
YELLOW RIVER,SANTA ROSA,0,1982-09-24
BLACK,SUMTER,0,1982-04-07
BLUE SPRING,TAYLOR,0,1999-10-22
FENHOLLOWAY RIVER,TAYLOR,0,1982-09-28
STEINHATCHEE RIVER,TAYLOR,0,1982-09-27
FISHER,UNION,0,1983-03-09
BERESFORD,VOLUSIA,0,1986-09-19
GEORGE,VOLUSIA,0,1982-10-12
GOPHER SLOUGH,VOLUSIA,0,1982-10-12
SPRING GARDEN,VOLUSIA,0,1988-09-13
TICK ISLAND MUD,VOLUSIA,0,1986-09-04
ELLEN,WAKULLA,0,1982-09-09
OCHLOCKONEE RIVER,WAKULLA,0,1982-08-20
OTTER,WAKULLA,0,1982-09-09
SOPCHOPPY RIVER,WAKULLA,0,1982-08-20
JACKSON,WALTON,0,1982-10-27
STANLEY,WALTON,0,1982-10-28
GAP POND,WASHINGTON,0,1982-09-29
HOLMES CREEK,WASHINGTON,0,1982-08-03
PATE,WASHINGTON,0,1982-10-28
